id,X_URI,instanceID,X_PARENT_AURI,fh_f101c,uniid_new,newid,pid,fh_f101,fh_f101cc,fh_f102,fh_f102_lb,fh_f103,fh_f103_warning,fh_f104,fh_f104c,fh_f104cc,fh_f104ccc,fh_f104c_bir_y,fh_f104c_bir_m,fh_f104c_age_m,fh_f104c_age_cal,fh_f104c_age_cal2,fh_f104_dk,fh_f105,fh_f106,over15,under49,over15under49,under5,over5,femaleover15,female1549,femalehchild,rta_form_id
1,uuid:629f8cd2-c2f1-40fe-af5f-4f51a5ea0333,uuid:28319517-f967-4a79-98a9-96e6828f4484,uuid:28319517-f967-4a79-98a9-96e6828f4484,1,uuid:28319517-f967-4a79-98a9-96e6828f4484,6e7311cd-7041-4c86-b5ff-e3f3cc068033,251,TUAN,TUAN = pid 1,1,MALE,40,,,,,,,,,,,,1,,1,1,1,0,1,0,0,0,
2,uuid:e98a7a8c-db04-43d2-bed6-b42fe21451a1,uuid:28319517-f967-4a79-98a9-96e6828f4484,uuid:28319517-f967-4a79-98a9-96e6828f4484,2,uuid:28319517-f967-4a79-98a9-96e6828f4484,0b460356-3fd3-4f1f-990e-cac378b818c6,252,LAN,LAN = pid 2,2,FEMALE,40,,,,,,,,,,,,1,1,1,1,1,0,1,1,1,1,
3,uuid:f9da23bb-269e-4c41-ab2e-57753c87c6d6,uuid:28319517-f967-4a79-98a9-96e6828f4484,uuid:28319517-f967-4a79-98a9-96e6828f4484,3,uuid:28319517-f967-4a79-98a9-96e6828f4484,c05e2eb2-ac53-45f9-8713-9a0140b9d8fa,253,LAN,LAN = pid 3,2,FEMALE,25,,,,,,,,,,,,1,1,1,1,1,0,1,1,1,1,
4,uuid:296422e6-7cab-4dad-b56a-4c0699139ba4,uuid:28319517-f967-4a79-98a9-96e6828f4484,uuid:28319517-f967-4a79-98a9-96e6828f4484,4,uuid:28319517-f967-4a79-98a9-96e6828f4484,7470eb15-7b0d-4831-81be-b54790d958d3,254,AN,AN = pid 4,1,MALE,5,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,
29,uuid:bfca1a82-e27c-4b0b-91ae-4bee8b8c6099,uuid:cd75a8f9-48b2-441d-8639-d9ea3f779bab,uuid:cd75a8f9-48b2-441d-8639-d9ea3f779bab,1,uuid:cd75a8f9-48b2-441d-8639-d9ea3f779bab,ed90dc89-aefa-4603-a58a-801a3a0bd984,41,VFFV,VFFV = pid 1,1,MALE,35,,,,,,,,,,,,1,,1,1,1,0,1,0,0,0,
30,uuid:808587cb-dc48-4564-b3b2-cb2d8be65140,uuid:cd75a8f9-48b2-441d-8639-d9ea3f779bab,uuid:cd75a8f9-48b2-441d-8639-d9ea3f779bab,2,uuid:cd75a8f9-48b2-441d-8639-d9ea3f779bab,f944b7a6-5b15-4c15-b485-fa4534894aea,42,VJJ,VJJ = pid 2,2,FEMALE,35,,,,,,,,,,,,1,0,1,1,1,0,1,1,1,1,
31,uuid:6ac1880d-7085-4e54-ab2e-4a91ba167788,uuid:cd75a8f9-48b2-441d-8639-d9ea3f779bab,uuid:cd75a8f9-48b2-441d-8639-d9ea3f779bab,3,uuid:cd75a8f9-48b2-441d-8639-d9ea3f779bab,f125a6c1-348f-4594-83ba-e3a1406a2e3f,43,GG,GG = pid 3,1,MALE,2,,2016-04-18,2016,4,18,2,0,24,2,3,,,,0,1,0,1,0,0,0,0,
32,uuid:fe7c13e2-ad6e-44ab-8b38-0813fbae7a19,uuid:cd75a8f9-48b2-441d-8639-d9ea3f779bab,uuid:cd75a8f9-48b2-441d-8639-d9ea3f779bab,4,uuid:cd75a8f9-48b2-441d-8639-d9ea3f779bab,0a9351a4-9f51-4f2f-ba48-64cf9526b6bd,44,GGG,GGG = pid 4,2,FEMALE,4,,2014-04-18,2014,4,18,4,0,48,4,5,,,,0,1,0,1,0,0,0,0,
57,uuid:2c1d7868-25ea-4e32-8958-3c29b70bf303,uuid:b337e0bc-6deb-4e73-8a23-342ed3a2d5cc,uuid:b337e0bc-6deb-4e73-8a23-342ed3a2d5cc,1,uuid:b337e0bc-6deb-4e73-8a23-342ed3a2d5cc,3c6df8a4-c1a0-4e45-ad25-6c245fa11475,151,VI VAN HIEN,VI VAN HIEN = pid 1,2,FEMALE,40,,,,,,,,,,,,1,1,1,1,1,0,1,1,1,1,
58,uuid:03fd2eab-a567-4073-b9b7-c1c1382459a4,uuid:b337e0bc-6deb-4e73-8a23-342ed3a2d5cc,uuid:b337e0bc-6deb-4e73-8a23-342ed3a2d5cc,2,uuid:b337e0bc-6deb-4e73-8a23-342ed3a2d5cc,ca43537e-6efc-488d-b881-c5fa7b404e35,152,VI VAN TUNG,VI VAN TUNG = pid 2,1,MALE,3,,2015-04-18,2015,4,18,3,0,36,3,4,,,,0,1,0,1,0,0,0,0,
